City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,8.9,98,100,2.57,US,1698638283
1,vorgashor,67.5833,63.95,-19.07,99,38,2.04,RU,1698638480
2,whistler,50.1164,-122.9695,1.42,78,74,0.96,CA,1698638481
3,dauphin,51.1494,-100.0502,-3.92,86,100,3.09,CA,1698638481
4,georgetown,5.4112,100.3354,29.99,74,20,4.12,MY,1698638480
5,adamstown,-25.066,-130.1015,22.68,81,100,4.22,PN,1698638482
6,udachny,66.4167,112.4,-19.2,76,96,3.89,RU,1698638483
7,ribeira grande,38.5167,-28.7,17.39,64,100,0.36,PT,1698638483
8,tura,25.5198,90.2201,26.41,65,1,0.6,IN,1698638484
9,avarua,-21.2078,-159.775,24.03,64,75,4.63,CK,1698638463
10,west island,-12.1568,96.8225,27.99,74,100,8.23,CC,1698638485
11,iskateley,67.6803,53.1512,-7.75,91,100,6.46,RU,1698638485
12,santa rosa,14.3122,121.1114,33.95,63,99,5.36,PH,1698638486
13,port-aux-francais,-49.35,70.2167,1.98,62,60,12.02,TF,1698638486
14,edinburgh of the seven seas,-37.0676,-12.3116,10.61,67,69,12.44,SH,1698638486
15,cadale,2.7603,46.3222,26.12,75,97,2.13,SO,1698638487
16,ilulissat,69.2167,-51.1,-4.99,86,100,1.54,GL,1698638487
17,trashi yangtse,27.6116,91.498,20.42,50,8,2.82,BT,1698638488
18,bethel,41.3712,-73.414,10.2,89,100,1.54,US,1698638353
19,iqaluit,63.7506,-68.5145,-8.15,79,100,6.17,CA,1698638489
20,murashi,59.3999,48.9615,-2.97,95,100,1.59,RU,1698638490
21,arraial do cabo,-22.9661,-42.0278,23.05,98,100,1.16,BR,1698638490
22,siniscola,40.5719,9.6922,15.75,94,95,4.09,IT,1698638491
23,waitangi,-43.9535,-176.5597,12.68,78,57,1.34,NZ,1698638491
24,nar'yan-mar,67.6713,53.087,-7.67,92,100,6.44,RU,1698638492
25,minas de marcona,-15.2119,-75.1103,14.48,87,77,6.01,PE,1698638492
26,hilo,19.7297,-155.09,26.85,80,100,2.57,US,1698638349
27,invercargill,-46.4,168.35,17.23,60,3,2.24,NZ,1698638493
28,ghadamis,30.1337,9.5007,23.82,21,83,4.67,LY,1698638494
29,yuzhno-kurilsk,44.0306,145.8556,7.99,76,4,3.53,RU,1698638459
30,pointe-noire,-4.7761,11.8635,26.04,94,75,4.12,CG,1698638495
31,buka,40.8108,69.1986,21.28,32,11,1.26,UZ,1698638495
32,szeged,46.253,20.1482,13.52,61,12,4.28,HU,1698638496
33,grytviken,-54.2811,-36.5092,3.85,98,100,4.78,GS,1698638477
34,pacific grove,36.6177,-121.9166,15.88,60,2,0.89,US,1698638497
35,kui buri,12.0828,99.8543,29.99,70,100,3.64,TH,1698638497
36,kingston,17.997,-76.7936,28.53,87,75,2.57,JM,1698638325
37,dubrovytsya,51.5744,26.565,10.16,84,87,5.24,UA,1698638498
38,stornoway,58.2093,-6.3865,8.98,75,75,7.72,GB,1698638499
39,ust-nera,64.5667,143.2,-11.45,94,96,0.5,RU,1698638499
40,mili,6.0815,171.735,28.71,77,23,6.18,MH,1698638499
41,isafjordur,66.0755,-23.124,1.21,82,22,1.85,IS,1698638500
42,kharp,66.8014,65.8081,-14.65,98,100,1.38,RU,1698638500
43,ishigaki,24.3448,124.1572,27.07,65,75,5.14,JP,1698638501
44,stanley,54.868,-1.6985,6.82,91,75,3.09,GB,1698638480
45,papatowai,-46.5619,169.4708,14.13,65,6,5.33,NZ,1698638502
46,tiksi,71.6872,128.8694,-16.48,97,99,3.23,RU,1698638502
47,wailua homesteads,22.0669,-159.378,24.3,83,54,3.95,US,1698638503
48,haiku-pauwela,20.9219,-156.3051,25.58,75,16,3.58,US,1698638503
49,saint john,45.2727,-66.0677,1.0,86,75,0.0,CA,1698638095
50,vetluzhskiy,58.3902,45.4654,-2.76,73,96,1.34,RU,1698638479
51,katsuren-haebaru,26.3369,127.8719,28.0,52,40,5.14,JP,1698638504
52,margaret river,-33.95,115.0667,16.15,52,93,5.26,AU,1698638296
53,blackmans bay,-43.0167,147.3167,17.07,53,93,1.34,AU,1698638505
54,oulmes,33.4258,-6.0014,14.82,49,100,7.92,MA,1698638506
55,yellowknife,62.456,-114.3525,-9.69,98,0,3.6,CA,1698638480
56,bel ombre,-4.6167,55.4167,25.91,89,75,5.14,SC,1698638506
57,puerto natales,-51.7236,-72.4875,2.17,91,95,0.9,CL,1698638507
58,riachao do jacuipe,-11.8069,-39.3856,20.82,85,10,2.78,BR,1698638286
59,ormara,25.2088,64.6357,26.95,71,3,2.09,PK,1698638472
60,matadi,-5.8167,13.45,25.71,88,100,1.56,CD,1698638509
61,dhuusamarreeb,5.535,46.3861,23.87,86,100,2.68,SO,1698638509
62,awjilah,29.1081,21.2869,19.78,51,2,2.51,LY,1698638509
63,saudarkrokur,65.7461,-19.6394,-0.76,81,19,3.72,IS,1698638510
64,badger,64.8,-147.5333,-3.13,90,100,0.95,US,1698638510
65,kirensk,57.7853,108.1119,-3.91,51,98,3.58,RU,1698638511
66,yarmouth,41.7057,-70.2286,10.03,95,100,4.63,US,1698638511
